match_id,date,season,city,venue,team,opponent,home_team,is_home,won_toss,toss_winner_at_home,team_innings_order,batting_first,won_match,match_winner_missing
335982,2008-04-18,2008,Bangalore,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,0,0,1,bat_first,1,1,0
335982,2008-04-18,2008,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,1,1,1,bowl_first,0,0,0
335983,2008-04-19,2008,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,0,1,0,bat_first,1,1,0
335983,2008-04-19,2008,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,1,0,0,bowl_first,0,0,0
335984,2008-04-19,2008,Delhi,Feroz Shah Kotla,Delhi Capitals,Rajasthan Royals,Delhi Capitals,1,0,0,bowl_first,0,1,0
335984,2008-04-19,2008,Delhi,Feroz Shah Kotla,Rajasthan Royals,Delhi Capitals,Delhi Capitals,0,1,0,bat_first,1,0,0
335985,2008-04-20,2008,Mumbai,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,1,1,1,bat_first,1,0,0
335985,2008-04-20,2008,Mumbai,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,0,0,1,bowl_first,0,1,0
335986,2008-04-20,2008,Kolkata,Eden Gardens,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,0,1,0,bat_first,1,0,0
335986,2008-04-20,2008,Kolkata,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,1,0,0,bowl_first,0,1,0
335987,2008-04-21,2008,Jaipur,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,0,1,0,bat_first,1,0,0
335987,2008-04-21,2008,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,1,0,0,bowl_first,0,1,0
335988,2008-04-22,2008,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Capitals,Deccan Chargers,1,1,1,bat_first,1,0,0
335988,2008-04-22,2008,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Delhi Capitals,Deccan Chargers,Deccan Chargers,0,0,1,bowl_first,0,1,0
335989,2008-04-23,2008,Chennai,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,1,0,0,bat_first,1,1,0
335989,2008-04-23,2008,Chennai,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,0,1,0,bowl_first,0,0,0
335990,2008-04-24,2008,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,Deccan Chargers,1,0,0,bat_first,1,0,0
335990,2008-04-24,2008,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,Deccan Chargers,Deccan Chargers,0,1,0,bowl_first,0,1,0
335991,2008-04-25,2008,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Kings XI Punjab,1,0,0,bat_first,1,1,0
335991,2008-04-25,2008,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,Kings XI Punjab,Kings XI Punjab,0,1,0,bowl_first,0,0,0
335992,2008-04-26,2008,Bangalore,M Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,0,1,0,bowl_first,0,1,0
335992,2008-04-26,2008,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,1,0,0,bat_first,1,0,0
335993,2008-04-26,2008,Chennai,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,1,0,0,bowl_first,0,1,0
335993,2008-04-26,2008,Chennai,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,0,1,0,bat_first,1,0,0
335994,2008-04-27,2008,Mumbai,Dr DY Patil Sports Academy,Deccan Chargers,Mumbai Indians,Rising Pune Supergiants,0,1,0,bowl_first,0,1,0
335994,2008-04-27,2008,Mumbai,Dr DY Patil Sports Academy,Mumbai Indians,Deccan Chargers,Rising Pune Supergiants,0,0,0,bat_first,1,0,0
335995,2008-04-27,2008,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Delhi Capitals,Kings XI Punjab,Kings XI Punjab,0,1,0,bat_first,1,0,0
335995,2008-04-27,2008,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Delhi Capitals,Kings XI Punjab,1,0,0,bowl_first,0,1,0
335996,2008-04-28,2008,Bangalore,M Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,0,1,0,bat_first,1,1,0
335996,2008-04-28,2008,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,1,0,0,bowl_first,0,0,0
335997,2008-04-29,2008,Kolkata,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,1,1,1,bat_first,1,0,0
335997,2008-04-29,2008,Kolkata,Eden Gardens,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,0,0,1,bowl_first,0,1,0
335998,2008-04-30,2008,Delhi,Feroz Shah Kotla,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,1,0,0,bat_first,1,1,0
335998,2008-04-30,2008,Delhi,Feroz Shah Kotla,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,0,1,0,bowl_first,0,0,0
335999,2008-05-01,2008,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kings XI Punjab,Deccan Chargers,1,0,0,bat_first,1,0,0
335999,2008-05-01,2008,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,Deccan Chargers,Deccan Chargers,0,1,0,bowl_first,0,1,0
336000,2008-05-01,2008,Jaipur,Sawai Mansingh Stadium,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,0,0,1,bowl_first,0,0,0
336000,2008-05-01,2008,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,1,1,1,bat_first,1,1,0
336001,2008-05-02,2008,Chennai,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Capitals,Chennai Super Kings,1,1,1,bat_first,1,0,0
336001,2008-05-02,2008,Chennai,"MA Chidambaram Stadium, Chepauk",Delhi Capitals,Chennai Super Kings,Chennai Super Kings,0,0,1,bowl_first,0,1,0
336003,2008-05-03,2008,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,1,1,1,bat_first,1,1,0
336003,2008-05-03,2008,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,0,0,1,bowl_first,0,0,0
336034,2008-05-03,2008,Bangalore,M Chinnaswamy Stadium,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,0,1,0,bowl_first,0,0,0
336034,2008-05-03,2008,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,1,0,0,bat_first,1,1,0
336004,2008-05-04,2008,Mumbai,Dr DY Patil Sports Academy,Delhi Capitals,Mumbai Indians,Rising Pune Supergiants,0,1,0,bowl_first,0,0,0
336004,2008-05-04,2008,Mumbai,Dr DY Patil Sports Academy,Mumbai Indians,Delhi Capitals,Rising Pune Supergiants,0,0,0,bat_first,1,1,0
336005,2008-05-04,2008,Jaipur,Sawai Mansingh Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,0,1,0,bat_first,1,0,0
336005,2008-05-04,2008,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,1,0,0,bowl_first,0,1,0
336006,2008-05-05,2008,Bangalore,M Chinnaswamy Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,0,1,0,bowl_first,0,1,0
336006,2008-05-05,2008,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,1,0,0,bat_first,1,0,0
336007,2008-05-06,2008,Chennai,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Deccan Chargers,Chennai Super Kings,1,0,0,bat_first,1,0,0
336007,2008-05-06,2008,Chennai,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,Chennai Super Kings,Chennai Super Kings,0,1,0,bowl_first,0,1,0
336008,2008-05-07,2008,Mumbai,Dr DY Patil Sports Academy,Mumbai Indians,Rajasthan Royals,Rising Pune Supergiants,0,1,0,bowl_first,0,1,0
336008,2008-05-07,2008,Mumbai,Dr DY Patil Sports Academy,Rajasthan Royals,Mumbai Indians,Rising Pune Supergiants,0,0,0,bat_first,1,0,0
336009,2008-05-08,2008,Delhi,Feroz Shah Kotla,Chennai Super Kings,Delhi Capitals,Delhi Capitals,0,1,0,bowl_first,0,1,0
336009,2008-05-08,2008,Delhi,Feroz Shah Kotla,Delhi Capitals,Chennai Super Kings,Delhi Capitals,1,0,0,bat_first,1,0,0
336010,2008-05-08,2008,Kolkata,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,1,1,1,bat_first,1,1,0
336010,2008-05-08,2008,Kolkata,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,0,0,1,bowl_first,0,0,0
336011,2008-05-09,2008,Jaipur,Sawai Mansingh Stadium,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,0,0,1,bat_first,1,0,0
336011,2008-05-09,2008,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,1,1,1,bowl_first,0,1,0
336013,2008-05-10,2008,Chennai,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,1,0,0,bat_first,1,1,0
336013,2008-05-10,2008,Chennai,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,0,1,0,bowl_first,0,0,0
336014,2008-05-11,2008,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,1,0,0,bowl_first,0,0,0
336014,2008-05-11,2008,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,0,1,0,bat_first,1,1,0
336015,2008-05-11,2008,Jaipur,Sawai Mansingh Stadium,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,0,0,1,bat_first,1,0,0
336015,2008-05-11,2008,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,1,1,1,bowl_first,0,1,0
336016,2008-05-12,2008,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,1,0,0,bowl_first,0,1,0
336016,2008-05-12,2008,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,0,1,0,bat_first,1,0,0
336017,2008-05-13,2008,Kolkata,Eden Gardens,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,0,0,1,bowl_first,0,0,0
336017,2008-05-13,2008,Kolkata,Eden Gardens,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,1,1,1,bat_first,1,1,0
336018,2008-05-14,2008,Mumbai,Wankhede Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,0,0,1,bat_first,1,0,0
336018,2008-05-14,2008,Mumbai,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,1,1,1,bowl_first,0,1,0
336020,2008-05-15,2008,Delhi,Feroz Shah Kotla,Deccan Chargers,Delhi Capitals,Delhi Capitals,0,1,0,bowl_first,0,0,0
336020,2008-05-15,2008,Delhi,Feroz Shah Kotla,Delhi Capitals,Deccan Chargers,Delhi Capitals,1,0,0,bat_first,1,1,0
336021,2008-05-16,2008,Mumbai,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,0,0,1,bat_first,1,0,0
336021,2008-05-16,2008,Mumbai,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,1,1,1,bowl_first,0,1,0
336022,2008-05-17,2008,Delhi,Feroz Shah Kotla,Delhi Capitals,Kings XI Punjab,Delhi Capitals,1,1,1,bat_first,1,0,0
336022,2008-05-17,2008,Delhi,Feroz Shah Kotla,Kings XI Punjab,Delhi Capitals,Delhi Capitals,0,0,1,bowl_first,0,1,0
336023,2008-05-17,2008,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,1,0,0,bat_first,1,1,0
336023,2008-05-17,2008,Jaipur,Sawai Mansingh Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,0,1,0,bowl_first,0,0,0
336024,2008-05-18,2008,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Mumbai Indians,Deccan Chargers,1,1,1,bowl_first,0,0,0
336024,2008-05-18,2008,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Deccan Chargers,Deccan Chargers,0,0,1,bat_first,1,1,0
336025,2008-05-18,2008,Kolkata,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,0,0,1,bowl_first,0,1,0
336025,2008-05-18,2008,Kolkata,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,1,1,1,bat_first,1,0,0
336026,2008-05-19,2008,Bangalore,M Chinnaswamy Stadium,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,0,1,0,bowl_first,0,1,0
336026,2008-05-19,2008,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,1,0,0,bat_first,1,0,0
336027,2008-05-20,2008,Kolkata,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,1,0,0,bat_first,1,0,0
336027,2008-05-20,2008,Kolkata,Eden Gardens,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,0,1,0,bowl_first,0,1,0
336028,2008-05-21,2008,Mumbai,Wankhede Stadium,Kings XI Punjab,Mumbai Indians,Mumbai Indians,0,0,1,bat_first,1,1,0
336028,2008-05-21,2008,Mumbai,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,Mumbai Indians,1,1,1,bowl_first,0,0,0
336029,2008-05-21,2008,Chennai,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,1,0,0,bowl_first,0,0,0
336029,2008-05-21,2008,Chennai,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,0,1,0,bat_first,1,1,0
336031,2008-05-23,2008,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Deccan Chargers,Kings XI Punjab,Kings XI Punjab,0,0,1,bat_first,1,0,0
336031,2008-05-23,2008,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Deccan Chargers,Kings XI Punjab,1,1,1,bowl_first,0,1,0
336032,2008-05-24,2008,Delhi,Feroz Shah Kotla,Delhi Capitals,Mumbai Indians,Delhi Capitals,1,1,1,bowl_first,0,1,0
336032,2008-05-24,2008,Delhi,Feroz Shah Kotla,Mumbai Indians,Delhi Capitals,Delhi Capitals,0,0,1,bat_first,1,0,0
336033,2008-05-24,2008,Chennai,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,1,0,0,bowl_first,0,0,0
336033,2008-05-24,2008,Chennai,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,0,1,0,bat_first,1,1,0
336002,2008-05-25,2008,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,1,1,1,bat_first,1,0,0
336002,2008-05-25,2008,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,0,0,1,bowl_first,0,1,0
336035,2008-05-25,2008,Kolkata,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,0,1,0,bat_first,1,0,0
336035,2008-05-25,2008,Kolkata,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,1,0,0,bowl_first,0,1,0
336036,2008-05-26,2008,Jaipur,Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,0,0,1,bat_first,1,0,0
336036,2008-05-26,2008,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,1,1,1,bowl_first,0,1,0
336037,2008-05-27,2008,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings,Deccan Chargers,Deccan Chargers,0,0,1,bowl_first,0,1,0
336037,2008-05-27,2008,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Chennai Super Kings,Deccan Chargers,1,1,1,bat_first,1,0,0
