season,team,matches_played,wins,losses,win_pct,tosses_won,toss_win_pct,matches_won_after_winning_toss,matches_lost_after_winning_toss,home_matches,home_wins,home_losses,home_win_pct,away_matches,away_wins,away_losses,away_win_pct,bat_first_matches,bat_first_wins,bat_first_losses,bat_first_win_pct,bowl_first_matches,bowl_first_wins,bowl_first_losses,bowl_first_win_pct
2008,Chennai Super Kings,16,9,7,56.25,5,31.25,3,2,7,3,4,42.86,9,6,3,66.67,9,4,5,44.44,7,5,2,71.43
2008,Deccan Chargers,14,2,12,14.29,9,64.29,2,7,7,0,7,0,7,2,5,28.57,8,0,8,0,6,2,4,33.33
2008,Delhi Daredevils,14,7,7,50,6,42.86,2,4,6,4,2,66.67,8,3,5,37.5,6,2,4,33.33,8,5,3,62.5
2008,Kings XI Punjab,15,10,5,66.67,8,53.33,4,4,7,6,1,85.71,8,4,4,50,7,4,3,57.14,8,6,2,75
2008,Kolkata Knight Riders,13,6,7,46.15,6,46.15,3,3,7,4,3,57.14,6,2,4,33.33,9,4,5,44.44,4,2,2,50
2008,Mumbai Indians,14,7,7,50,8,57.14,4,4,4,2,2,50,10,5,5,50,6,2,4,33.33,8,5,3,62.5
2008,Rajasthan Royals,16,13,3,81.25,11,68.75,9,2,7,7,0,100,9,6,3,66.67,6,4,2,66.67,10,9,1,90
2008,Royal Challengers Bangalore,14,4,10,28.57,5,35.71,1,4,7,1,6,14.29,7,3,4,42.86,7,2,5,28.57,7,2,5,28.57
2010,Chennai Super Kings,15,9,6,60,9,60,6,3,6,4,2,66.67,9,5,4,55.56,8,5,3,62.5,7,4,3,57.14
2010,Deccan Chargers,16,8,8,50,9,56.25,5,4,2,2,0,100,14,6,8,42.86,7,5,2,71.43,9,3,6,33.33
2010,Delhi Daredevils,14,7,7,50,8,57.14,5,3,7,3,4,42.86,7,4,3,57.14,6,4,2,66.67,8,3,5,37.5
2010,Kings XI Punjab,13,3,10,23.08,5,38.46,0,5,7,1,6,14.29,6,2,4,33.33,7,0,7,0,6,3,3,50
2010,Kolkata Knight Riders,14,7,7,50,7,50,4,3,7,5,2,71.43,7,2,5,28.57,8,4,4,50,6,3,3,50
2010,Mumbai Indians,16,11,5,68.75,9,56.25,6,3,7,6,1,85.71,9,5,4,55.56,11,8,3,72.73,5,3,2,60
2010,Rajasthan Royals,14,6,8,42.86,6,42.86,3,3,7,4,3,57.14,7,2,5,28.57,8,4,4,50,6,2,4,33.33
2010,Royal Challengers Bangalore,16,8,8,50,6,37.5,2,4,7,4,3,57.14,9,4,5,44.44,4,1,3,25,12,7,5,58.33
2011,Chennai Super Kings,16,11,5,68.75,9,56.25,7,2,8,8,0,100,8,3,5,37.5,12,8,4,66.67,4,3,1,75
2011,Deccan Chargers,14,6,8,42.86,6,42.86,3,3,7,1,6,14.29,7,5,2,71.43,9,5,4,55.56,5,1,4,20
2011,Delhi Daredevils,13,4,9,30.77,8,61.54,3,5,6,1,5,16.67,7,3,4,42.86,6,2,4,33.33,7,2,5,28.57
2011,Kings XI Punjab,14,7,7,50,10,71.43,4,6,8,6,2,75,6,1,5,16.67,7,4,3,57.14,7,3,4,42.86
2011,Kochi Tuskers Kerala,14,6,8,42.86,8,57.14,4,4,0,0,0,NA,14,6,8,42.86,7,2,5,28.57,7,4,3,57.14
