match_id,date,season,team,opponent,won_match,matches_before,wins_before,win_pct_before,home_win_pct_before,away_win_pct_before,prev_season_win_pct,prev_home_win_pct,prev_away_win_pct,prev_bat_first_win_pct,last_3_wins,won_toss,toss_winner_at_home,batting_first,is_home
335982,18/04/2008,2008,Kolkata Knight Riders,Royal Challengers Bangalore,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
335982,18/04/2008,2008,Royal Challengers Bangalore,Kolkata Knight Riders,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
335983,19/04/2008,2008,Chennai Super Kings,Kings XI Punjab,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
335983,19/04/2008,2008,Kings XI Punjab,Chennai Super Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
335984,19/04/2008,2008,Delhi Daredevils,Rajasthan Royals,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
335984,19/04/2008,2008,Rajasthan Royals,Delhi Daredevils,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
335985,20/04/2008,2008,Mumbai Indians,Royal Challengers Bangalore,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
335985,20/04/2008,2008,Royal Challengers Bangalore,Mumbai Indians,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
335986,20/04/2008,2008,Deccan Chargers,Kolkata Knight Riders,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
335986,20/04/2008,2008,Kolkata Knight Riders,Deccan Chargers,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
335987,21/04/2008,2008,Kings XI Punjab,Rajasthan Royals,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
335987,21/04/2008,2008,Rajasthan Royals,Kings XI Punjab,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
335988,22/04/2008,2008,Deccan Chargers,Delhi Daredevils,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1
335988,22/04/2008,2008,Delhi Daredevils,Deccan Chargers,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
