match_id,date,season,team,opponent,won_match,win_pct_before,prev_season_win_pct,won_toss,toss_winner_at_home,batting_first,is_home
419116,19/03/2010,2010,Delhi Daredevils,Chennai Super Kings,0,0.666666667,0.5,1,1,1,1
419118,20/03/2010,2010,Kolkata Knight Riders,Rajasthan Royals,0,0.666666667,0.461538462,0,1,0,0
419118,20/03/2010,2010,Rajasthan Royals,Kolkata Knight Riders,1,0,0.8125,1,1,1,1
419119,20/03/2010,2010,Royal Challengers Bangalore,Mumbai Indians,1,0.666666667,0.285714286,0,1,0,0
419120,21/03/2010,2010,Deccan Chargers,Delhi Daredevils,1,0.666666667,0.142857143,1,1,1,1
419120,21/03/2010,2010,Delhi Daredevils,Deccan Chargers,0,0.5,0.5,0,1,0,0
419122,22/03/2010,2010,Kolkata Knight Riders,Mumbai Indians,0,0.5,0.461538462,1,0,1,0
419122,22/03/2010,2010,Mumbai Indians,Kolkata Knight Riders,1,0.666666667,0.5,0,0,0,1
419123,23/03/2010,2010,Chennai Super Kings,Royal Challengers Bangalore,0,0.666666667,0.5625,1,0,0,0
419123,23/03/2010,2010,Royal Challengers Bangalore,Chennai Super Kings,1,0.75,0.285714286,0,0,1,1
419124,24/03/2010,2010,Kings XI Punjab,Rajasthan Royals,0,0,0.666666667,1,1,0,1
419124,24/03/2010,2010,Rajasthan Royals,Kings XI Punjab,1,0.25,0.8125,0,1,1,0
419125,25/03/2010,2010,Chennai Super Kings,Mumbai Indians,0,0.5,0.5625,0,1,1,0
419125,25/03/2010,2010,Mumbai Indians,Chennai Super Kings,1,0.75,0.5,1,1,0,1
419128,25/03/2010,2010,Delhi Daredevils,Royal Challengers Bangalore,1,0.4,0.5,0,1,1,0
419128,25/03/2010,2010,Royal Challengers Bangalore,Delhi Daredevils,0,0.8,0.285714286,1,1,0,1
419126,26/03/2010,2010,Deccan Chargers,Rajasthan Royals,0,0.75,0.142857143,1,0,1,0
419126,26/03/2010,2010,Rajasthan Royals,Deccan Chargers,1,0.4,0.8125,0,0,0,1
419127,27/03/2010,2010,Kings XI Punjab,Kolkata Knight Riders,0,0,0.666666667,0,0,0,1
419127,27/03/2010,2010,Kolkata Knight Riders,Kings XI Punjab,1,0.4,0.461538462,1,0,1,0
419129,28/03/2010,2010,Chennai Super Kings,Rajasthan Royals,0,0.4,0.5625,0,1,0,0
419129,28/03/2010,2010,Rajasthan Royals,Chennai Super Kings,1,0.5,0.8125,1,1,1,1
419130,28/03/2010,2010,Deccan Chargers,Mumbai Indians,0,0.6,0.142857143,1,0,0,0
419130,28/03/2010,2010,Mumbai Indians,Deccan Chargers,1,0.8,0.5,0,0,1,0
419131,29/03/2010,2010,Delhi Daredevils,Kolkata Knight Riders,1,0.5,0.5,1,1,1,1
419131,29/03/2010,2010,Kolkata Knight Riders,Delhi Daredevils,0,0.5,0.461538462,0,1,0,0
419132,30/03/2010,2010,Kings XI Punjab,Mumbai Indians,0,0,0.666666667,0,1,1,0
419132,30/03/2010,2010,Mumbai Indians,Kings XI Punjab,1,0.833333333,0.5,1,1,0,1
419133,31/03/2010,2010,Chennai Super Kings,Royal Challengers Bangalore,1,0.333333333,0.5625,0,0,0,1
419133,31/03/2010,2010,Royal Challengers Bangalore,Chennai Super Kings,0,0.666666667,0.285714286,1,0,1,0
419134,31/03/2010,2010,Delhi Daredevils,Rajasthan Royals,1,0.571428571,0.5,1,1,1,1
419134,31/03/2010,2010,Rajasthan Royals,Delhi Daredevils,0,0.571428571,0.8125,0,1,0,0
419135,1/04/2010,2010,Deccan Chargers,Kolkata Knight Riders,0,0.5,0.142857143,0,1,0,0
419135,1/04/2010,2010,Kolkata Knight Riders,Deccan Chargers,1,0.428571429,0.461538462,1,1,1,1
419136,2/04/2010,2010,Kings XI Punjab,Royal Challengers Bangalore,0,0,0.666666667,1,1,1,1
419136,2/04/2010,2010,Royal Challengers Bangalore,Kings XI Punjab,1,0.571428571,0.285714286,0,1,0,0
419137,3/04/2010,2010,Chennai Super Kings,Rajasthan Royals,1,0.428571429,0.5625,1,1,1,1
419137,3/04/2010,2010,Rajasthan Royals,Chennai Super Kings,0,0.5,0.8125,0,1,0,0
419138,3/04/2010,2010,Deccan Chargers,Mumbai Indians,0,0.428571429,0.142857143,0,1,0,0
419138,3/04/2010,2010,Mumbai Indians,Deccan Chargers,1,0.857142857,0.5,1,1,1,1
419139,4/04/2010,2010,Kings XI Punjab,Kolkata Knight Riders,1,0,0.666666667,0,1,0,0
419139,4/04/2010,2010,Kolkata Knight Riders,Kings XI Punjab,0,0.5,0.461538462,1,1,1,1
419140,4/04/2010,2010,Delhi Daredevils,Royal Challengers Bangalore,1,0.625,0.5,1,1,1,1
419140,4/04/2010,2010,Royal Challengers Bangalore,Delhi Daredevils,0,0.625,0.285714286,0,1,0,0
419141,5/04/2010,2010,Deccan Chargers,Rajasthan Royals,0,0.375,0.142857143,0,0,0,0
419141,5/04/2010,2010,Rajasthan Royals,Deccan Chargers,1,0.444444444,0.8125,1,0,1,0
